time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,68,2179,2179,26,14,-22,-17,-21
0.003906,68,2179,2179,26,14,-22,-17,-21
0.007812,68,2179,2179,26,14,-22,-17,-21
0.011719,69,2179,2179,26,14,-22,-17,-21
0.015625,69,2179,2179,26,14,-22,-17,-21
0.019531,69,2179,2179,26,14,-22,-17,-21
0.023438,69,2179,2179,27,14,-22,-17,-21
0.027344,69,2179,2179,27,14,-22,-17,-21
0.031250,70,2179,2179,27,14,-22,-17,-21
0.035156,69,2179,2179,28,14,-22,-17,-21
0.039062,69,2179,2179,28,15,-22,-17,-21
0.042969,69,2179,2179,29,15,-22,-17,-21
0.046875,70,2179,2179,29,14,-22,-17,-21
0.050781,69,2179,2179,29,14,-22,-17,-21
0.054688,69,2179,2179,30,15,-22,-17,-21
0.058594,69,2179,2179,31,15,-22,-17,-21
0.062500,69,2179,2179,31,15,-16,-17,-21
0.066406,70,2179,2179,32,15,-22,-17,-21
0.070312,69,2179,2179,32,15,-22,-17,-21
0.074219,69,2179,2179,33,15,-22,-17,-21
0.078125,70,2179,2179,33,15,-22,-17,-21
0.082031,70,2179,2179,33,14,-22,-17,-21
0.085938,69,2179,2179,33,14,-22,-17,-21
0.089844,70,2179,2179,35,15,-22,-17,-21
0.093750,70,2179,2179,35,15,-22,-17,-21
0.097656,70,2179,2179,36,14,-22,-17,-21
0.101562,70,2179,2179,37,14,-22,-17,-21
0.105469,70,2179,2179,38,15,-22,-17,-21
0.109375,70,2179,2179,39,15,-22,-17,-21
0.113281,70,2179,2179,40,15,-22,-17,-21
0.117188,70,2179,2179,40,14,-22,-17,-21
0.121094,70,2179,2179,41,15,-22,-17,-21
0.125000,70,2179,2179,42,14,-22,-17,-21
0.128906,70,2179,2179,42,14,-22,-17,-21
0.132812,70,2179,2179,43,14,-22,-17,-21
0.136719,70,2179,2179,45,14,-22,-17,-21
0.140625,70,2179,2179,47,14,-22,-17,-21
0.144531,70,2179,2179,48,14,-22,-17,-21
0.148438,70,2179,2179,50,14,-22,-17,-21
0.152344,70,2179,2179,51,14,-22,-17,-21
0.156250,70,2179,2179,52,14,-22,-17,-21
0.160156,70,2179,2179,53,14,-22,-17,-21
0.164062,71,2179,2179,53,14,-22,-17,-21
0.167969,70,2179,2179,53,14,-22,-17,-21
0.171875,70,2179,2179,55,14,-22,-17,-21
0.175781,70,2179,2179,55,14,-22,-17,-21
0.179688,70,2179,2179,57,14,-22,-17,-21
0.183594,70,2179,2179,58,14,-22,-17,-21
0.187500,70,2179,2179,60,14,-28,-17,-21
0.191406,70,2179,2179,61,14,-21,-17,-21
0.195312,70,2179,2179,62,14,-22,-17,-21
0.199219,71,2179,2179,63,14,-22,-17,-21
0.203125,70,2179,2179,64,14,-21,-17,-21
0.207031,70,2179,2179,65,14,-22,-17,-21
0.210938,71,2179,2179,66,14,-22,-17,-21
0.214844,71,2179,2179,66,14,-22,-17,-21
0.218750,71,2179,2179,67,14,-22,-17,-21
0.222656,71,2179,2179,68,14,-22,-17,-21
0.226562,71,2179,2179,69,14,-22,-17,-21
0.230469,71,2179,2179,70,14,-22,-17,-21
0.234375,71,2179,2179,71,14,-22,-17,-21
0.238281,71,2179,2179,72,15,-22,-17,-21
0.242188,71,2179,2179,74,15,-22,-17,-21
0.246094,71,2179,2179,75,14,-22,-17,-21
0.250000,71,2179,2179,76,14,-22,-17,-21
0.253906,71,2179,2179,78,15,-22,-17,-21
0.257812,71,2179,2179,80,15,-22,-17,-21
0.261719,71,2179,2179,81,15,-22,-17,-21
0.265625,71,2179,2179,82,15,-22,-17,-21
0.269531,70,2179,2179,83,15,-22,-17,-21
0.273438,70,2179,2179,84,15,-22,-17,-21
0.277344,70,2179,2179,83,15,-22,-17,-21
0.281250,70,2179,2179,83,14,-22,-17,-21
0.285156,70,2179,2179,82,14,-22,-17,-21
0.289062,70,2179,2179,83,14,-22,-17,-21
0.292969,70,2179,2179,85,14,-22,-17,-21
0.296875,70,2179,2179,87,14,-22,-17,-21
0.300781,70,2179,2179,89,14,-22,-17,-21
0.304688,69,2179,2179,92,14,-22,-17,-21
