time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,23,2179,2179,16,10,-24,-19,-21
0.003906,22,2179,2179,15,10,-23,-19,-21
0.007812,22,2179,2179,15,10,-24,-19,-21
0.011719,22,2179,2179,16,10,-24,-19,-21
0.015625,22,2179,2179,16,11,-24,-19,-21
0.019531,22,2179,2179,15,10,-24,-19,-21
0.023438,22,2179,2179,15,10,-24,-19,-21
0.027344,22,2179,2179,15,11,-23,-19,-21
0.031250,21,2179,2179,15,11,-24,-19,-21
0.035156,22,2179,2179,14,10,-23,-19,-21
0.039062,21,2179,2179,14,10,-23,-18,-21
0.042969,21,2179,2179,15,10,-23,-18,-21
0.046875,21,2179,2179,15,11,-23,-18,-21
0.050781,21,2179,2179,15,11,-23,-18,-21
0.054688,21,2179,2179,15,11,-23,-18,-21
0.058594,20,2179,2179,15,11,-23,-18,-21
0.062500,21,2179,2179,15,11,-23,-18,-21
0.066406,21,2179,2179,15,11,-23,-19,-21
0.070312,21,2179,2179,15,11,-23,-18,-21
0.074219,21,2179,2179,15,11,-23,-18,-21
0.078125,21,2179,2179,16,11,-23,-18,-21
0.082031,21,2179,2179,15,11,-23,-19,-21
0.085938,22,2179,2179,15,11,-24,-18,-21
0.089844,22,2179,2179,15,11,-24,-18,-21
0.093750,22,2179,2179,15,11,-31,-19,-21
0.097656,23,2179,2179,15,10,-24,-19,-21
0.101562,23,2179,2179,14,10,-24,-19,-21
0.105469,24,2179,2179,14,10,-24,-19,-21
0.109375,24,2179,2179,15,10,-24,-19,-21
0.113281,24,2179,2179,15,10,-24,-19,-21
0.117188,24,2179,2179,14,10,-24,-19,-21
0.121094,24,2179,2179,14,10,-24,-19,-21
0.125000,24,2179,2179,14,10,-24,-19,-21
0.128906,24,2179,2179,14,10,-24,-19,-21
0.132812,24,2179,2179,14,10,-24,-19,-21
0.136719,24,2179,2179,14,10,-24,-19,-21
0.140625,24,2179,2179,14,10,-24,-19,-21
0.144531,24,2179,2179,14,10,-23,-19,-21
0.148438,24,2179,2179,14,10,-23,-19,-21
0.152344,24,2179,2179,14,10,-23,-19,-21
0.156250,24,2179,2179,14,10,-23,-18,-21
0.160156,24,2179,2179,15,10,-23,-18,-21
0.164062,24,2179,2179,15,10,-23,-18,-21
0.167969,25,2179,2179,14,10,-23,-18,-21
0.171875,25,2179,2179,15,10,-24,-18,-21
0.175781,25,2179,2179,15,10,-23,-18,-21
0.179688,25,2179,2179,15,11,-23,-18,-21
0.183594,25,2179,2179,16,11,-23,-19,-21
0.187500,25,2179,2179,16,10,-23,-18,-21
0.191406,25,2179,2179,16,10,-23,-18,-21
0.195312,25,2179,2179,16,11,-23,-19,-21
0.199219,25,2179,2179,16,10,-23,-19,-21
0.203125,25,2179,2179,16,10,-23,-19,-21
0.207031,25,2179,2179,16,10,-24,-19,-21
0.210938,25,2179,2179,16,11,-23,-18,-21
0.214844,25,2179,2179,16,11,-24,-19,-21
0.218750,25,2179,2179,16,11,-18,-19,-21
0.222656,26,2179,2179,16,11,-24,-19,-21
0.226562,25,2179,2179,16,11,-24,-19,-21
