time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,3,2179,2179,17,7,-25,-21,-23
0.003906,3,2179,2179,17,7,-25,-21,-24
0.007812,3,2179,2179,17,7,-25,-21,-23
0.011719,3,2179,2179,17,7,-25,-21,-23
0.015625,3,2179,2179,17,7,-25,-21,-23
0.019531,3,2179,2179,17,7,-25,-21,-23
0.023438,3,2179,2179,17,7,-25,-21,-23
0.027344,2,2179,2179,17,7,-25,-20,-23
0.031250,2,2179,2179,17,8,-25,-21,-23
0.035156,2,2179,2179,17,8,-25,-20,-23
0.039062,2,2179,2179,17,7,-25,-21,-23
0.042969,2,2179,2179,17,7,-25,-20,-23
0.046875,2,2179,2179,17,8,-25,-20,-23
0.050781,2,2179,2179,17,8,-25,-21,-23
0.054688,2,2179,2179,17,8,-25,-21,-23
0.058594,3,2179,2179,17,7,-25,-21,-23
0.062500,3,2179,2179,17,7,-25,-20,-23
0.066406,3,2179,2179,17,8,-25,-21,-23
0.070312,4,2179,2179,17,7,-25,-21,-23
0.074219,4,2179,2179,17,7,-25,-21,-23
0.078125,3,2179,2179,17,7,-25,-21,-23
0.082031,4,2179,2179,17,7,-25,-21,-23
0.085938,4,2179,2179,17,7,-25,-21,-23
0.089844,4,2179,2179,16,7,-25,-21,-24
0.093750,4,2179,2179,17,7,-26,-21,-24
0.097656,4,2179,2179,17,7,-25,-21,-24
0.101562,4,2179,2179,17,7,-25,-21,-24
0.105469,4,2179,2179,17,7,-25,-21,-24
0.109375,4,2179,2179,17,7,-26,-21,-24
0.113281,4,2179,2179,17,6,-25,-21,-24
0.117188,3,2179,2179,17,7,-25,-21,-24
0.121094,4,2179,2179,17,7,-25,-21,-23
0.125000,4,2179,2179,17,7,-25,-21,-23
0.128906,4,2179,2179,17,7,-25,-21,-23
0.132812,4,2179,2179,17,8,-25,-20,-23
0.136719,5,2179,2179,17,8,-25,-20,-23
0.140625,5,2179,2179,17,7,-25,-20,-23
0.144531,5,2179,2179,17,7,-25,-20,-23
0.148438,5,2179,2179,17,7,-25,-21,-23
0.152344,5,2179,2179,17,7,-25,-21,-23
0.156250,6,2179,2179,17,7,-25,-21,-23
0.160156,5,2179,2179,17,7,-25,-21,-23
0.164062,5,2179,2179,17,7,-25,-21,-23
0.167969,5,2179,2179,17,7,-25,-21,-23
0.171875,6,2179,2179,16,6,-25,-21,-23
0.175781,6,2179,2179,16,7,-25,-21,-23
0.179688,5,2179,2179,17,6,-25,-21,-24
0.183594,6,2179,2179,17,7,-25,-21,-23
0.187500,6,2179,2179,17,7,-26,-21,-24
0.191406,6,2179,2179,16,7,-26,-21,-24
0.195312,6,2179,2179,17,7,-25,-21,-24
0.199219,6,2179,2179,17,7,-25,-21,-23
0.203125,6,2179,2179,17,7,-25,-21,-23
0.207031,6,2179,2179,17,7,-25,-21,-23
0.210938,7,2179,2179,17,7,-26,-21,-24
0.214844,6,2179,2179,17,7,-25,-21,-23
0.218750,6,2179,2179,17,7,-25,-21,-23
0.222656,6,2179,2179,17,7,-25,-21,-23
0.226562,7,2179,2179,17,7,-25,-21,-23
0.230469,6,2179,2179,17,7,-26,-21,-23
0.234375,6,2179,2179,17,7,-25,-21,-23
0.238281,7,2179,2179,17,6,-25,-20,-23
0.242188,7,2179,2179,16,7,-25,-20,-23
0.246094,6,2179,2179,17,7,-25,-20,-23
0.250000,7,2179,2179,17,7,-25,-20,-23
0.253906,7,2179,2179,17,7,-25,-20,-23
0.257812,7,2179,2179,17,7,-25,-20,-23
0.261719,7,2179,2179,17,7,-25,-20,-24
0.265625,7,2179,2179,17,7,-25,-20,-23
0.269531,8,2179,2179,17,7,-25,-21,-24
0.273438,8,2179,2179,17,7,-25,-20,-24
0.277344,8,2179,2179,17,7,-25,-21,-23
0.281250,8,2179,2179,17,7,-25,-21,-24
0.285156,8,2179,2179,17,7,-25,-21,-24
0.289062,8,2179,2179,17,7,-25,-21,-24
