time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,29,2179,2179,31,20,-19,-13,-20
0.003906,29,2179,2179,31,20,-19,-13,-20
0.007812,29,2179,2179,31,20,-19,-13,-20
0.011719,30,2179,2179,31,20,-19,-13,-20
0.015625,30,2179,2179,31,20,-19,-13,-20
0.019531,30,2179,2179,31,20,-19,-13,-20
0.023438,30,2179,2179,31,20,-19,-13,-20
0.027344,31,2179,2179,31,20,-20,-13,-20
0.031250,31,2179,2179,31,20,-20,-13,-20
0.035156,31,2179,2179,31,20,-19,-13,-20
0.039062,31,2179,2179,31,20,-19,-13,-20
0.042969,32,2179,2179,31,20,-19,-13,-20
0.046875,32,2179,2179,31,20,-19,-13,-20
0.050781,32,2179,2179,31,20,-19,-13,-20
0.054688,32,2179,2179,31,20,-19,-13,-20
0.058594,31,2179,2179,32,21,-19,-13,-20
0.062500,32,2179,2179,31,20,-19,-12,-20
0.066406,32,2179,2179,32,20,-20,-13,-20
0.070312,31,2179,2179,32,21,-20,-13,-20
0.074219,31,2179,2179,32,21,-20,-13,-21
0.078125,31,2179,2179,32,21,-19,-13,-20
0.082031,31,2179,2179,32,20,-19,-13,-20
0.085938,30,2179,2179,32,20,-19,-13,-20
0.089844,30,2179,2179,32,21,-19,-13,-20
0.093750,30,2179,2179,32,21,-19,-13,-20
0.097656,30,2179,2179,31,21,-19,-13,-20
0.101562,30,2179,2179,32,21,-19,-13,-20
0.105469,30,2179,2179,33,21,-19,-13,-20
0.109375,30,2179,2179,33,21,-19,-13,-20
0.113281,30,2179,2179,33,21,-19,-13,-20
0.117188,30,2179,2179,34,21,-20,-13,-20
0.121094,30,2179,2179,34,21,-19,-13,-20
0.125000,30,2179,2179,34,21,-19,-13,-21
0.128906,30,2179,2179,34,21,-19,-13,-21
0.132812,30,2179,2179,34,21,-20,-13,-20
0.136719,30,2179,2179,34,21,-20,-13,-20
0.140625,30,2179,2179,34,21,-20,-13,-20
0.144531,30,2179,2179,33,21,-19,-13,-20
0.148438,30,2179,2179,33,21,-20,-13,-20
0.152344,30,2179,2179,33,20,-19,-13,-20
0.156250,30,2179,2179,34,20,-20,-13,-21
0.160156,30,2179,2179,35,21,-20,-13,-20
0.164062,30,2179,2179,35,20,-20,-13,-20
0.167969,30,2179,2179,35,20,-20,-13,-21
0.171875,30,2179,2179,36,20,-20,-13,-21
0.175781,30,2179,2179,36,20,-20,-13,-21
0.179688,30,2179,2179,36,20,-20,-13,-20
0.183594,30,2179,2179,36,20,-20,-13,-21
0.187500,30,2179,2179,37,20,-20,-12,-21
0.191406,30,2179,2179,38,20,-20,-13,-20
0.195312,30,2179,2179,38,20,-20,-13,-21
0.199219,30,2179,2179,39,20,-20,-13,-20
0.203125,29,2179,2179,40,21,-19,-13,-20
0.207031,29,2179,2179,41,21,-19,-13,-20
0.210938,29,2179,2179,41,20,-19,-13,-20
0.214844,30,2179,2179,42,20,-19,-13,-20
0.218750,29,2179,2179,43,20,-19,-13,-20
0.222656,30,2179,2179,45,20,-19,-13,-20
0.226562,30,2179,2179,46,20,-19,-13,-20
0.230469,30,2179,2179,47,20,-19,-13,-20
0.234375,30,2179,2179,48,20,-19,-13,-20
0.238281,30,2179,2179,50,21,-19,-13,-20
0.242188,30,2179,2179,50,21,-19,-13,-20
0.246094,30,2179,2179,51,20,-19,-13,-20
0.250000,31,2179,2179,52,20,-19,-13,-20
0.253906,31,2179,2179,53,20,-19,-13,-20
0.257812,31,2179,2179,54,20,-19,-13,-20
0.261719,32,2179,2179,55,20,-19,-13,-20
0.265625,32,2179,2179,56,20,-19,-13,-20
0.269531,32,2179,2179,58,20,-19,-13,-20
0.273438,32,2179,2179,60,21,-19,-13,-20
0.277344,32,2179,2179,61,21,-19,-13,-20
0.281250,32,2179,2179,63,21,-19,-13,-20
0.285156,32,2179,2179,64,20,-19,-13,-21
0.289062,32,2179,2179,66,21,-19,-13,-21
0.292969,32,2179,2179,67,21,-20,-13,-21
0.296875,32,2179,2179,69,20,-20,-13,-20
0.300781,32,2179,2179,70,21,-20,-13,-21
0.304688,32,2179,2179,72,21,-20,-13,-20
0.308594,31,2179,2179,74,21,-20,-13,-20
0.312500,32,2179,2179,76,20,-20,-13,-20
0.316406,32,2179,2179,78,20,-20,-13,-20
0.320312,32,2179,2179,80,21,-24,-13,-20
0.324219,32,2179,2179,82,21,-19,-13,-20
0.328125,32,2179,2179,83,20,-19,-13,-20
0.332031,32,2179,2179,84,20,-19,-13,-20
0.335938,32,2179,2179,86,20,-19,-13,-20
0.339844,32,2179,2179,87,21,-19,-13,-20
0.343750,33,2179,2179,89,21,-19,-13,-20
0.347656,33,2179,2179,90,20,-19,-13,-20
0.351562,33,2179,2179,91,20,-19,-13,-20
0.355469,33,2179,2179,93,21,-19,-13,-20
0.359375,33,2179,2179,94,21,-19,-13,-20
0.363281,33,2179,2179,94,20,-19,-13,-20
0.367188,33,2179,2179,95,20,-19,-13,-20
0.371094,33,2179,2179,97,20,-19,-13,-20
0.375000,33,2179,2179,99,20,-19,-13,-20
0.378906,33,2179,2179,101,20,-19,-13,-21
0.382812,33,2179,2179,102,20,-19,-13,-20
0.386719,33,2179,2179,104,20,-20,-13,-21
0.390625,33,2179,2179,104,20,-19,-13,-20
0.394531,33,2179,2179,104,20,-20,-13,-21
0.398438,33,2179,2179,105,20,-20,-13,-20
0.402344,33,2179,2179,105,20,-20,-13,-20
0.406250,33,2179,2179,106,20,-19,-13,-20
0.410156,33,2179,2179,107,20,-19,-13,-20
0.414062,34,2179,2179,109,20,-20,-13,-21
0.417969,33,2179,2179,112,20,-20,-13,-20
0.421875,33,2179,2179,115,21,-20,-13,-20
0.425781,33,2179,2179,117,21,-20,-13,-20
0.429688,32,2179,2179,118,20,-19,-13,-20
0.433594,32,2179,2179,118,20,-19,-13,-20
0.437500,32,2179,2179,119,21,-19,-13,-20
0.441406,31,2179,2179,118,21,-19,-13,-20
0.445312,32,2179,2179,118,20,-14,-13,-20
0.449219,32,2179,2179,118,21,-19,-13,-20
0.453125,32,2179,2179,119,21,-19,-13,-20
0.457031,32,2179,2179,120,21,-19,-13,-20
0.460938,32,2179,2179,120,21,-19,-13,-20
0.464844,32,2179,2179,121,21,-19,-13,-20
0.468750,32,2179,2179,121,21,-19,-13,-20
0.472656,32,2179,2179,121,21,-19,-13,-20
0.476562,32,2179,2179,120,21,-19,-13,-20
0.480469,32,2179,2179,119,21,-19,-13,-20
0.484375,32,2179,2179,118,21,-19,-13,-20
0.488281,32,2179,2179,119,21,-19,-13,-20
0.492188,32,2179,2179,119,21,-19,-13,-20
0.496094,32,2179,2179,120,20,-19,-13,-20
0.500000,32,2179,2179,122,20,-19,-13,-20
0.503906,32,2179,2179,124,21,-19,-13,-20
0.507812,32,2179,2179,126,21,-19,-13,-20
0.511719,32,2179,2179,127,20,-19,-13,-20
0.515625,32,2179,2179,127,21,-20,-13,-20
0.519531,32,2179,2179,127,21,-20,-13,-21
0.523438,32,2179,2179,126,21,-20,-13,-21
0.527344,32,2179,2179,126,21,-20,-13,-21
0.531250,33,2179,2179,125,21,-20,-13,-21
0.535156,33,2179,2179,126,21,-20,-13,-21
0.539062,33,2179,2179,126,21,-20,-13,-21
0.542969,33,2179,2179,127,21,-20,-13,-20
0.546875,33,2179,2179,127,21,-20,-13,-20
0.550781,32,2179,2179,128,21,-19,-13,-20
0.554688,32,2179,2179,128,21,-19,-13,-20
0.558594,32,2179,2179,129,21,-19,-13,-20
0.562500,33,2179,2179,129,21,-19,-12,-20
0.566406,33,2179,2179,129,20,-19,-13,-20
0.570312,33,2179,2179,130,21,-26,-13,-20
0.574219,33,2179,2179,131,21,-19,-13,-20
0.578125,34,2179,2179,131,21,-19,-13,-20
0.582031,34,2179,2179,131,20,-19,-13,-20
0.585938,34,2179,2179,132,20,-19,-13,-20
0.589844,34,2179,2179,132,21,-19,-13,-20
0.593750,34,2179,2179,131,20,-19,-13,-20
0.597656,34,2179,2179,131,20,-19,-13,-20
0.601562,34,2179,2179,131,20,-19,-13,-20
0.605469,34,2179,2179,132,20,-20,-13,-20
0.609375,34,2179,2179,132,20,-19,-13,-20
0.613281,34,2179,2179,133,20,-20,-13,-21
0.617188,34,2179,2179,133,20,-19,-13,-21
0.621094,34,2179,2179,134,20,-20,-13,-21
0.625000,34,2179,2179,135,20,-20,-13,-21
0.628906,34,2179,2179,135,20,-20,-13,-20
0.632812,34,2179,2179,135,20,-20,-13,-20
0.636719,33,2179,2179,136,20,-20,-13,-20
0.640625,33,2179,2179,136,21,-19,-13,-20
0.644531,33,2179,2179,136,21,-19,-13,-20
0.648438,33,2179,2179,137,20,-20,-13,-20
0.652344,33,2179,2179,137,21,-20,-13,-20
0.656250,33,2179,2179,138,21,-19,-13,-20
0.660156,33,2179,2179,138,21,-19,-13,-20
0.664062,33,2179,2179,138,21,-19,-13,-20
0.667969,32,2179,2179,139,21,-19,-13,-20
0.671875,32,2179,2179,139,21,-19,-13,-20
0.675781,33,2179,2179,139,21,-19,-13,-20
0.679688,33,2179,2179,138,21,-19,-13,-20
0.683594,33,2179,2179,138,21,-19,-13,-20
0.687500,32,2179,2179,139,21,-19,-13,-20
0.691406,32,2179,2179,139,21,-19,-13,-20
0.695312,33,2179,2179,139,21,-14,-13,-20
0.699219,32,2179,2179,139,21,-19,-13,-20
0.703125,32,2179,2179,140,21,-19,-13,-20
0.707031,32,2179,2179,140,21,-19,-13,-20
0.710938,32,2179,2179,140,21,-19,-13,-20
0.714844,32,2179,2179,139,20,-19,-13,-20
0.718750,32,2179,2179,139,21,-19,-13,-20
0.722656,32,2179,2179,140,21,-19,-13,-21
0.726562,33,2179,2179,140,21,-20,-13,-21
0.730469,33,2179,2179,140,20,-20,-13,-20
0.734375,32,2179,2179,140,20,-20,-13,-21
0.738281,32,2179,2179,141,21,-20,-13,-21
0.742188,32,2179,2179,141,21,-20,-13,-21
0.746094,32,2179,2179,141,20,-20,-13,-20
0.750000,32,2179,2179,141,20,-20,-13,-20
0.753906,31,2179,2179,141,21,-19,-13,-20
0.757812,31,2179,2179,141,21,-20,-13,-20
0.761719,31,2179,2179,141,20,-19,-13,-20
0.765625,31,2179,2179,141,20,-19,-13,-20
0.769531,30,2179,2179,141,20,-20,-13,-21
0.773438,30,2179,2179,141,21,-20,-13,-20
0.777344,30,2179,2179,142,21,-20,-13,-21
0.781250,30,2179,2179,142,20,-20,-13,-21
0.785156,29,2179,2179,142,20,-19,-13,-20
0.789062,29,2179,2179,143,21,-19,-13,-20
0.792969,30,2179,2179,144,21,-19,-13,-20
0.796875,29,2179,2179,143,20,-19,-13,-20
0.800781,28,2179,2179,144,21,-19,-13,-20
0.804688,29,2179,2179,144,21,-19,-13,-20
0.808594,29,2179,2179,144,21,-19,-13,-20
0.812500,29,2179,2179,143,21,-19,-13,-20
0.816406,29,2179,2179,143,20,-19,-13,-20
0.820312,29,2179,2179,143,21,-22,-13,-20
0.824219,29,2179,2179,143,21,-19,-13,-20
0.828125,29,2179,2179,143,20,-19,-13,-20
0.832031,29,2179,2179,143,20,-19,-13,-20
0.835938,29,2179,2179,143,20,-19,-13,-20
0.839844,29,2179,2179,143,20,-19,-13,-20
0.843750,29,2179,2179,144,21,-20,-13,-20
0.847656,29,2179,2179,144,21,-20,-13,-20
0.851562,29,2179,2179,144,21,-20,-13,-21
0.855469,29,2179,2179,145,21,-20,-13,-21
0.859375,29,2179,2179,145,21,-20,-13,-21
0.863281,29,2179,2179,145,21,-20,-13,-20
0.867188,29,2179,2179,145,21,-20,-13,-20
0.871094,28,2179,2179,145,21,-20,-13,-20
0.875000,28,2179,2179,145,21,-19,-13,-20
0.878906,28,2179,2179,145,21,-19,-13,-20
0.882812,28,2179,2179,144,21,-19,-13,-20
0.886719,28,2179,2179,145,21,-19,-13,-20
0.890625,28,2179,2179,145,21,-19,-13,-20
0.894531,28,2179,2179,145,21,-19,-13,-20
0.898438,28,2179,2179,145,21,-19,-13,-20
0.902344,27,2179,2179,146,21,-19,-13,-20
0.906250,28,2179,2179,147,21,-19,-13,-20
0.910156,28,2179,2179,147,21,-19,-13,-20
0.914062,28,2179,2179,147,21,-19,-13,-20
0.917969,27,2179,2179,147,21,-19,-13,-20
0.921875,27,2179,2179,147,21,-19,-13,-20
0.925781,27,2179,2179,146,21,-19,-13,-20
0.929688,27,2179,2179,146,21,-19,-13,-20
0.933594,27,2179,2179,146,21,-20,-13,-20
0.937500,27,2179,2179,146,21,-20,-13,-20
0.941406,27,2179,2179,146,21,-19,-13,-20
0.945312,27,2179,2179,146,20,-18,-13,-20
0.949219,27,2179,2179,146,20,-19,-13,-20
0.953125,27,2179,2179,146,22,-19,-13,-20
0.957031,27,2179,2179,146,21,-20,-13,-20
0.960938,27,2179,2179,146,21,-20,-13,-20
0.964844,26,2179,2179,146,20,-20,-13,-20
0.968750,26,2179,2179,146,21,-20,-13,-20
0.972656,26,2179,2179,146,21,-20,-13,-20
0.976562,26,2179,2179,146,21,-20,-13,-20
0.980469,26,2179,2179,147,21,-19,-13,-20
0.984375,26,2179,2179,147,20,-20,-13,-20
0.988281,26,2179,2179,148,21,-20,-13,-20
0.992188,25,2179,2179,148,21,-19,-13,-20
0.996094,25,2179,2179,148,20,-19,-13,-20
1.000000,25,2179,2179,148,20,-19,-13,-20
1.003906,24,2179,2179,148,21,-19,-13,-20
1.007812,24,2179,2179,147,21,-19,-13,-20
1.011719,24,2179,2179,147,20,-19,-13,-20
1.015625,24,2179,2179,146,20,-19,-13,-20
1.019531,24,2179,2179,147,20,-19,-13,-20
1.023438,24,2179,2179,147,20,-19,-12,-20
1.027344,24,2179,2179,147,20,-19,-13,-20
1.031250,24,2179,2179,147,20,-19,-13,-20
1.035156,24,2179,2179,148,20,-19,-13,-20
1.039062,23,2179,2179,148,20,-19,-13,-20
