time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,14,2179,2179,19,10,-23,-19,-22
0.003906,14,2179,2179,19,10,-23,-19,-22
0.007812,14,2179,2179,19,10,-24,-19,-22
0.011719,14,2179,2179,19,10,-23,-19,-22
0.015625,14,2179,2179,19,10,-24,-18,-22
0.019531,14,2179,2179,19,10,-23,-18,-21
0.023438,14,2179,2179,19,10,-31,-18,-21
0.027344,14,2179,2179,19,10,-23,-18,-21
0.031250,14,2179,2179,19,10,-23,-18,-21
0.035156,14,2179,2179,19,10,-23,-18,-21
0.039062,14,2179,2179,19,10,-23,-18,-21
0.042969,14,2179,2179,19,10,-23,-18,-21
0.046875,14,2179,2179,19,10,-23,-18,-21
0.050781,14,2179,2179,19,10,-23,-18,-22
0.054688,14,2179,2179,19,10,-24,-19,-22
0.058594,14,2179,2179,19,10,-24,-19,-22
0.062500,14,2179,2179,19,10,-24,-19,-22
0.066406,14,2179,2179,18,9,-24,-18,-22
0.070312,14,2179,2179,19,10,-23,-18,-21
0.074219,13,2179,2179,19,10,-23,-18,-21
0.078125,13,2179,2179,19,10,-23,-18,-21
0.082031,13,2179,2179,19,10,-23,-18,-21
0.085938,13,2179,2179,19,10,-23,-19,-21
0.089844,13,2179,2179,20,11,-24,-19,-21
0.093750,13,2179,2179,20,11,-23,-19,-22
0.097656,13,2179,2179,20,11,-24,-19,-22
0.101562,13,2179,2179,20,11,-24,-18,-22
0.105469,13,2179,2179,20,11,-24,-19,-22
0.109375,13,2179,2179,20,11,-24,-19,-22
0.113281,13,2179,2179,20,11,-24,-19,-22
0.117188,13,2179,2179,19,11,-24,-19,-22
0.121094,14,2179,2179,19,11,-24,-19,-22
0.125000,14,2179,2179,19,11,-24,-19,-22
0.128906,15,2179,2179,19,10,-24,-19,-22
0.132812,15,2179,2179,19,10,-24,-19,-22
0.136719,15,2179,2179,18,10,-24,-19,-22
0.140625,15,2179,2179,18,10,-24,-19,-22
0.144531,15,2179,2179,19,10,-24,-19,-22
0.148438,15,2179,2179,18,10,-20,-19,-22
0.152344,15,2179,2179,18,10,-24,-19,-22
0.156250,14,2179,2179,19,10,-24,-19,-22
0.160156,14,2179,2179,19,10,-24,-19,-22
0.164062,15,2179,2179,19,10,-24,-20,-22
0.167969,15,2179,2179,18,10,-24,-19,-22
0.171875,14,2179,2179,19,10,-24,-19,-22
0.175781,14,2179,2179,19,10,-23,-19,-22
0.179688,15,2179,2179,19,10,-23,-19,-22
0.183594,14,2179,2179,18,10,-23,-18,-22
0.187500,14,2179,2179,18,10,-23,-18,-21
0.191406,13,2179,2179,19,10,-23,-18,-21
0.195312,13,2179,2179,19,10,-23,-18,-21
0.199219,13,2179,2179,19,10,-23,-18,-21
0.203125,13,2179,2179,19,10,-23,-18,-21
0.207031,13,2179,2179,19,10,-23,-18,-21
0.210938,12,2179,2179,19,10,-23,-18,-21
0.214844,13,2179,2179,19,10,-23,-18,-21
0.218750,13,2179,2179,19,10,-22,-17,-21
0.222656,12,2179,2179,19,10,-22,-17,-21
0.226562,12,2179,2179,19,10,-22,-18,-21
0.230469,12,2179,2179,19,11,-23,-18,-21
0.234375,12,2179,2179,19,10,-23,-18,-21
0.238281,12,2179,2179,19,11,-23,-18,-21
0.242188,12,2179,2179,20,11,-23,-19,-21
0.246094,12,2179,2179,19,11,-23,-19,-21
0.250000,13,2179,2179,19,10,-24,-19,-22
0.253906,12,2179,2179,19,10,-24,-19,-22
0.257812,12,2179,2179,19,10,-23,-19,-21
0.261719,12,2179,2179,19,11,-23,-18,-21
0.265625,13,2179,2179,19,10,-23,-18,-21
0.269531,12,2179,2179,19,10,-23,-18,-21
0.273438,12,2179,2179,19,11,-31,-18,-21
0.277344,12,2179,2179,19,10,-23,-19,-22
0.281250,12,2179,2179,19,10,-24,-19,-22
0.285156,12,2179,2179,19,10,-24,-19,-22
0.289062,12,2179,2179,20,10,-24,-19,-22
0.292969,11,2179,2179,20,11,-24,-20,-22
0.296875,11,2179,2179,20,11,-24,-20,-22
0.300781,11,2179,2179,19,11,-24,-20,-22
0.304688,11,2179,2179,19,11,-24,-19,-22
0.308594,11,2179,2179,19,11,-24,-19,-22
0.312500,12,2179,2179,19,11,-24,-19,-22
0.316406,12,2179,2179,19,10,-24,-19,-22
0.320312,12,2179,2179,19,10,-24,-19,-22
0.324219,12,2179,2179,19,11,-24,-19,-22
0.328125,12,2179,2179,19,11,-24,-19,-22
0.332031,12,2179,2179,19,11,-24,-19,-22
0.335938,12,2179,2179,19,11,-24,-19,-22
0.339844,11,2179,2179,20,11,-24,-18,-22
0.343750,12,2179,2179,20,11,-24,-19,-22
0.347656,12,2179,2179,19,11,-24,-19,-22
0.351562,12,2179,2179,19,10,-24,-19,-22
0.355469,12,2179,2179,19,10,-24,-19,-22
0.359375,12,2179,2179,20,11,-24,-19,-22
0.363281,12,2179,2179,20,11,-24,-19,-22
0.367188,12,2179,2179,19,11,-24,-19,-22
0.371094,12,2179,2179,19,11,-24,-19,-22
0.375000,12,2179,2179,20,11,-24,-19,-22
0.378906,12,2179,2179,20,11,-24,-19,-22
0.382812,12,2179,2179,19,10,-23,-19,-21
0.386719,12,2179,2179,19,10,-23,-18,-21
0.390625,11,2179,2179,19,11,-23,-18,-21
0.394531,12,2179,2179,19,10,-23,-18,-21
0.398438,12,2179,2179,19,10,-18,-18,-21
0.402344,12,2179,2179,19,10,-23,-18,-21
0.406250,12,2179,2179,19,10,-23,-19,-21
0.410156,12,2179,2179,19,11,-24,-19,-21
0.414062,12,2179,2179,19,11,-24,-19,-22
0.417969,12,2179,2179,19,10,-24,-18,-21
0.421875,11,2179,2179,19,10,-24,-19,-21
0.425781,12,2179,2179,19,11,-23,-18,-21
0.429688,12,2179,2179,19,11,-23,-18,-21
0.433594,12,2179,2179,19,10,-23,-18,-21
0.437500,12,2179,2179,19,10,-23,-18,-21
0.441406,12,2179,2179,19,10,-23,-18,-21
0.445312,13,2179,2179,19,10,-23,-18,-21
0.449219,13,2179,2179,19,10,-23,-18,-21
0.453125,13,2179,2179,19,10,-23,-18,-21
0.457031,13,2179,2179,19,10,-23,-18,-21
0.460938,13,2179,2179,19,10,-23,-18,-21
0.464844,13,2179,2179,19,10,-23,-19,-21
0.468750,14,2179,2179,19,10,-23,-19,-22
0.472656,14,2179,2179,19,10,-24,-19,-22
0.476562,14,2179,2179,19,10,-23,-19,-22
0.480469,14,2179,2179,19,11,-24,-19,-22
0.484375,14,2179,2179,19,10,-23,-19,-22
0.488281,13,2179,2179,19,10,-24,-19,-22
0.492188,13,2179,2179,20,11,-23,-19,-22
0.496094,14,2179,2179,20,11,-23,-18,-21
0.500000,14,2179,2179,20,11,-23,-18,-21
0.503906,13,2179,2179,19,11,-23,-18,-21
0.507812,13,2179,2179,20,11,-23,-18,-21
0.511719,13,2179,2179,20,11,-23,-18,-21
0.515625,14,2179,2179,20,11,-23,-18,-21
0.519531,14,2179,2179,20,11,-24,-18,-21
0.523438,13,2179,2179,20,11,-32,-19,-22
0.527344,14,2179,2179,20,11,-24,-19,-22
0.531250,14,2179,2179,20,11,-24,-19,-22
0.535156,14,2179,2179,19,11,-24,-19,-22
0.539062,14,2179,2179,20,11,-24,-19,-22
0.542969,14,2179,2179,20,11,-24,-19,-22
0.546875,15,2179,2179,20,11,-24,-19,-22
0.550781,15,2179,2179,19,11,-23,-19,-22
0.554688,15,2179,2179,19,10,-23,-19,-21
0.558594,15,2179,2179,19,11,-23,-18,-21
0.562500,15,2179,2179,19,10,-23,-18,-21
0.566406,16,2179,2179,19,10,-23,-18,-21
0.570312,16,2179,2179,19,10,-23,-18,-21
0.574219,15,2179,2179,19,10,-23,-18,-21
0.578125,16,2179,2179,19,10,-23,-18,-21
0.582031,16,2179,2179,18,10,-23,-18,-21
0.585938,16,2179,2179,19,10,-23,-18,-22
0.589844,15,2179,2179,19,10,-24,-19,-22
0.593750,15,2179,2179,19,10,-24,-19,-22
0.597656,15,2179,2179,19,10,-24,-19,-22
0.601562,15,2179,2179,19,10,-24,-19,-22
0.605469,15,2179,2179,19,10,-24,-19,-22
0.609375,14,2179,2179,19,10,-23,-19,-22
0.613281,15,2179,2179,19,10,-23,-19,-22
0.617188,15,2179,2179,18,10,-24,-19,-22
0.621094,15,2179,2179,19,10,-24,-19,-22
0.625000,15,2179,2179,19,10,-24,-19,-22
0.628906,15,2179,2179,19,10,-23,-18,-22
0.632812,15,2179,2179,19,10,-23,-18,-21
0.636719,15,2179,2179,19,10,-23,-18,-21
0.640625,15,2179,2179,19,10,-23,-18,-21
0.644531,15,2179,2179,19,10,-23,-18,-22
0.648438,15,2179,2179,19,10,-18,-18,-21
0.652344,15,2179,2179,19,10,-23,-18,-22
0.656250,15,2179,2179,19,10,-23,-18,-22
0.660156,15,2179,2179,19,10,-23,-18,-22
0.664062,15,2179,2179,19,10,-23,-18,-21
0.667969,15,2179,2179,19,10,-23,-18,-21
0.671875,15,2179,2179,19,10,-23,-18,-21
0.675781,15,2179,2179,19,11,-23,-19,-21
0.679688,15,2179,2179,19,11,-24,-19,-22
0.683594,15,2179,2179,19,10,-24,-19,-22
0.687500,15,2179,2179,19,10,-24,-20,-22
0.691406,15,2179,2179,19,11,-25,-20,-23
0.695312,16,2179,2179,19,11,-25,-20,-23
0.699219,16,2179,2179,18,10,-25,-20,-23
0.703125,16,2179,2179,18,10,-25,-20,-23
0.707031,16,2179,2179,18,11,-25,-20,-23
0.710938,16,2179,2179,18,11,-24,-19,-22
0.714844,16,2179,2179,18,10,-24,-19,-22
0.718750,17,2179,2179,18,11,-24,-19,-22
0.722656,17,2179,2179,19,11,-24,-19,-22
