time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,35,2179,2179,181,4,-27,-22,-25
0.003906,35,2179,2179,182,4,-27,-22,-24
0.007812,35,2179,2179,182,4,-27,-22,-24
0.011719,35,2179,2179,182,4,-27,-22,-24
0.015625,35,2179,2179,182,4,-27,-22,-24
0.019531,35,2179,2179,183,4,-27,-23,-25
0.023438,35,2179,2179,182,4,-27,-22,-25
0.027344,35,2179,2179,182,4,-27,-22,-25
0.031250,34,2179,2179,182,4,-27,-22,-25
0.035156,34,2179,2179,182,4,-27,-22,-25
0.039062,34,2179,2179,182,4,-27,-22,-25
0.042969,34,2179,2179,182,4,-27,-22,-25
0.046875,33,2179,2179,182,3,-27,-22,-25
0.050781,33,2179,2179,182,4,-27,-22,-25
0.054688,33,2179,2179,182,4,-27,-22,-25
0.058594,33,2179,2179,182,4,-27,-22,-25
0.062500,33,2179,2179,182,3,-27,-22,-25
0.066406,32,2179,2179,182,3,-27,-22,-25
0.070312,32,2179,2179,182,4,-27,-22,-25
0.074219,32,2179,2179,183,4,-27,-22,-25
0.078125,32,2179,2179,183,3,-27,-22,-25
0.082031,32,2179,2179,183,4,-27,-22,-25
0.085938,32,2179,2179,183,4,-27,-22,-25
0.089844,32,2179,2179,183,4,-27,-22,-25
0.093750,33,2179,2179,182,4,-27,-22,-25
0.097656,33,2179,2179,182,4,-27,-22,-24
0.101562,33,2179,2179,182,4,-27,-22,-25
0.105469,33,2179,2179,181,4,-27,-22,-25
0.109375,33,2179,2179,181,4,-27,-22,-25
0.113281,33,2179,2179,181,4,-27,-22,-24
0.117188,33,2179,2179,181,3,-27,-22,-25
0.121094,33,2179,2179,182,4,-27,-22,-25
0.125000,33,2179,2179,182,4,-27,-22,-25
0.128906,33,2179,2179,182,3,-27,-22,-25
0.132812,33,2179,2179,182,4,-27,-22,-25
0.136719,33,2179,2179,183,4,-27,-22,-24
0.140625,33,2179,2179,182,4,-27,-22,-25
0.144531,33,2179,2179,182,3,-27,-22,-25
0.148438,33,2179,2179,182,4,-27,-22,-25
0.152344,33,2179,2179,182,4,-27,-22,-25
0.156250,33,2179,2179,182,4,-27,-22,-25
0.160156,33,2179,2179,182,4,-27,-22,-25
0.164062,33,2179,2179,182,4,-27,-22,-25
0.167969,32,2179,2179,182,4,-27,-22,-25
0.171875,32,2179,2179,183,5,-27,-22,-25
0.175781,32,2179,2179,183,4,-27,-22,-25
0.179688,32,2179,2179,183,4,-27,-22,-24
0.183594,32,2179,2179,183,4,-27,-22,-24
0.187500,31,2179,2179,184,4,-27,-22,-24
0.191406,32,2179,2179,184,4,-27,-22,-24
0.195312,32,2179,2179,184,4,-27,-22,-24
0.199219,31,2179,2179,184,4,-27,-22,-24
0.203125,31,2179,2179,184,5,-27,-22,-24
0.207031,31,2179,2179,184,5,-27,-22,-24
0.210938,31,2179,2179,183,4,-27,-22,-25
0.214844,31,2179,2179,183,4,-27,-22,-24
0.218750,31,2179,2179,183,4,-27,-22,-25
0.222656,31,2179,2179,183,4,-27,-22,-25
0.226562,31,2179,2179,182,4,-27,-22,-25
0.230469,31,2179,2179,182,4,-27,-22,-25
0.234375,31,2179,2179,181,3,-27,-22,-25
0.238281,31,2179,2179,182,4,-27,-22,-25
0.242188,31,2179,2179,182,4,-27,-22,-25
0.246094,30,2179,2179,182,3,-27,-22,-25
0.250000,30,2179,2179,182,3,-27,-22,-25
0.253906,30,2179,2179,182,3,-27,-22,-25
0.257812,30,2179,2179,182,3,-27,-22,-25
0.261719,29,2179,2179,183,3,-27,-22,-24
0.265625,29,2179,2179,183,3,-27,-22,-25
0.269531,29,2179,2179,183,3,-27,-22,-25
0.273438,28,2179,2179,183,4,-27,-22,-25
0.277344,28,2179,2179,183,3,-27,-22,-25
0.281250,28,2179,2179,182,3,-27,-22,-25
0.285156,28,2179,2179,182,4,-27,-22,-25
0.289062,27,2179,2179,182,4,-27,-22,-25
0.292969,27,2179,2179,182,4,-27,-22,-25
0.296875,27,2179,2179,182,3,-27,-22,-25
0.300781,26,2179,2179,182,4,-27,-22,-25
0.304688,26,2179,2179,183,4,-27,-22,-25
0.308594,26,2179,2179,183,4,-27,-22,-24
0.312500,25,2179,2179,182,4,-27,-22,-24
0.316406,24,2179,2179,179,3,-27,-22,-24
0.320312,24,2179,2179,173,4,-27,-22,-25
0.324219,23,2179,2179,162,4,-27,-22,-25
0.328125,22,2179,2179,146,3,-27,-22,-25
0.332031,22,2179,2179,127,3,-27,-22,-25
0.335938,21,2179,2179,107,4,-27,-22,-25
0.339844,21,2179,2179,89,4,-27,-22,-25
0.343750,20,2179,2179,75,4,-27,-22,-25
0.347656,20,2179,2179,66,4,-27,-22,-25
0.351562,19,2179,2179,62,4,-27,-22,-25
0.355469,19,2179,2179,59,4,-27,-22,-25
0.359375,19,2179,2179,56,4,-27,-22,-25
0.363281,18,2179,2179,53,4,-27,-22,-25
0.367188,18,2179,2179,47,4,-27,-22,-25
0.371094,17,2179,2179,41,4,-27,-22,-25
0.375000,17,2179,2179,33,4,-27,-22,-24
0.378906,17,2179,2179,26,4,-27,-22,-24
0.382812,16,2179,2179,20,4,-27,-22,-24
0.386719,16,2179,2179,18,4,-27,-22,-24
0.390625,16,2179,2179,17,4,-27,-22,-25
0.394531,16,2179,2179,16,4,-27,-22,-24
0.398438,16,2179,2179,17,4,-27,-22,-24
0.402344,15,2179,2179,18,4,-27,-22,-24
0.406250,15,2179,2179,18,4,-27,-22,-25
0.410156,15,2179,2179,17,3,-27,-22,-25
0.414062,15,2179,2179,16,3,-27,-22,-25
0.417969,15,2179,2179,15,3,-27,-22,-25
0.421875,15,2179,2179,14,3,-27,-22,-25
0.425781,15,2179,2179,14,3,-27,-22,-25
0.429688,14,2179,2179,13,3,-27,-22,-25
0.433594,14,2179,2179,14,3,-27,-22,-25
0.437500,14,2179,2179,15,4,-27,-22,-25
0.441406,14,2179,2179,15,4,-27,-22,-25
0.445312,13,2179,2179,15,3,-27,-22,-25
0.449219,13,2179,2179,15,3,-27,-22,-25
0.453125,12,2179,2179,16,4,-27,-22,-25
0.457031,12,2179,2179,15,4,-27,-22,-25
0.460938,13,2179,2179,15,4,-27,-22,-24
0.464844,12,2179,2179,15,4,-27,-22,-25
0.468750,12,2179,2179,15,4,-27,-22,-25
0.472656,12,2179,2179,15,4,-27,-22,-25
0.476562,11,2179,2179,15,4,-27,-22,-24
0.480469,11,2179,2179,15,4,-27,-22,-25
0.484375,11,2179,2179,14,4,-27,-22,-24
0.488281,11,2179,2179,15,4,-27,-22,-25
0.492188,11,2179,2179,15,4,-27,-22,-24
0.496094,11,2179,2179,15,4,-27,-22,-24
0.500000,11,2179,2179,15,4,-27,-22,-24
0.503906,10,2179,2179,15,4,-27,-22,-25
0.507812,11,2179,2179,14,4,-27,-22,-25
0.511719,11,2179,2179,14,4,-27,-22,-23
0.515625,10,2179,2179,14,4,-27,-22,-25
0.519531,10,2179,2179,14,4,-27,-22,-25
0.523438,10,2179,2179,15,4,-27,-22,-25
0.527344,10,2179,2179,15,3,-27,-22,-25
0.531250,9,2179,2179,15,3,-27,-22,-25
0.535156,9,2179,2179,16,4,-27,-22,-25
0.539062,9,2179,2179,15,4,-27,-22,-25
0.542969,9,2179,2179,15,4,-27,-22,-25
0.546875,9,2179,2179,15,4,-27,-22,-25
0.550781,8,2179,2179,15,4,-27,-22,-25
0.554688,8,2179,2179,15,4,-27,-22,-25
0.558594,8,2179,2179,14,4,-27,-22,-25
0.562500,8,2179,2179,14,4,-27,-22,-25
0.566406,8,2179,2179,14,4,-27,-22,-25
0.570312,8,2179,2179,14,4,-27,-22,-25
0.574219,8,2179,2179,15,4,-27,-22,-25
0.578125,8,2179,2179,15,4,-27,-22,-24
0.582031,8,2179,2179,15,4,-27,-22,-24
0.585938,7,2179,2179,15,4,-27,-22,-24
0.589844,7,2179,2179,16,4,-27,-22,-24
0.593750,8,2179,2179,15,4,-27,-22,-25
0.597656,8,2179,2179,15,3,-27,-22,-25
0.601562,7,2179,2179,15,4,-27,-22,-25
0.605469,7,2179,2179,15,4,-27,-22,-25
0.609375,7,2179,2179,14,4,-27,-22,-25
0.613281,7,2179,2179,15,3,-27,-22,-25
0.617188,7,2179,2179,15,3,-27,-22,-25
