time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,14,2179,2179,18,9,-24,-19,-21
0.003906,14,2179,2179,18,9,-24,-19,-21
0.007812,14,2179,2179,18,9,-24,-19,-21
0.011719,14,2179,2179,18,9,-24,-19,-21
0.015625,13,2179,2179,18,10,-24,-19,-21
0.019531,13,2179,2179,18,10,-24,-19,-21
0.023438,13,2179,2179,18,10,-23,-19,-21
0.027344,13,2179,2179,19,10,-24,-19,-21
0.031250,13,2179,2179,20,9,-24,-19,-21
0.035156,12,2179,2179,20,10,-24,-19,-21
0.039062,13,2179,2179,20,10,-24,-19,-22
0.042969,13,2179,2179,20,10,-24,-19,-22
0.046875,13,2179,2179,19,10,-24,-20,-22
0.050781,13,2179,2179,19,10,-24,-19,-22
0.054688,14,2179,2179,19,10,-24,-19,-22
0.058594,14,2179,2179,19,9,-24,-19,-22
0.062500,14,2179,2179,19,9,-24,-19,-21
0.066406,15,2179,2179,19,9,-24,-19,-21
0.070312,14,2179,2179,19,10,-24,-19,-21
0.074219,15,2179,2179,18,9,-23,-19,-21
0.078125,14,2179,2179,19,9,-24,-19,-21
0.082031,14,2179,2179,19,9,-24,-19,-21
0.085938,14,2179,2179,19,10,-24,-19,-21
0.089844,14,2179,2179,19,9,-24,-19,-22
0.093750,14,2179,2179,19,9,-24,-19,-22
0.097656,14,2179,2179,19,10,-24,-20,-22
0.101562,14,2179,2179,19,10,-24,-20,-22
0.105469,14,2179,2179,19,10,-24,-20,-22
0.109375,14,2179,2179,19,10,-25,-20,-22
0.113281,14,2179,2179,19,10,-24,-20,-22
0.117188,13,2179,2179,20,11,-25,-20,-22
0.121094,14,2179,2179,20,11,-25,-20,-22
0.125000,14,2179,2179,20,10,-25,-20,-22
0.128906,14,2179,2179,20,10,-25,-20,-22
0.132812,13,2179,2179,20,10,-25,-20,-22
0.136719,14,2179,2179,20,10,-24,-20,-22
0.140625,14,2179,2179,19,10,-24,-20,-22
0.144531,15,2179,2179,19,10,-24,-20,-21
0.148438,15,2179,2179,19,10,-25,-19,-22
0.152344,15,2179,2179,19,10,-24,-19,-21
0.156250,15,2179,2179,19,8,-24,-19,-21
0.160156,16,2179,2179,19,9,-24,-19,-21
0.164062,15,2179,2179,19,9,-24,-19,-21
0.167969,16,2179,2179,19,9,-24,-19,-21
0.171875,16,2179,2179,18,8,-24,-19,-21
0.175781,16,2179,2179,18,8,-24,-19,-22
0.179688,15,2179,2179,18,8,-24,-20,-22
0.183594,15,2179,2179,18,8,-24,-20,-22
0.187500,15,2179,2179,18,9,-24,-20,-22
0.191406,15,2179,2179,18,9,-25,-20,-22
0.195312,15,2179,2179,18,9,-25,-20,-22
0.199219,14,2179,2179,19,9,-25,-20,-22
0.203125,14,2179,2179,19,9,-24,-20,-22
0.207031,14,2179,2179,19,9,-24,-20,-21
0.210938,14,2179,2179,19,9,-24,-20,-21
0.214844,14,2179,2179,19,9,-24,-20,-21
0.218750,14,2179,2179,19,9,-24,-19,-21
0.222656,14,2179,2179,18,9,-24,-20,-22
0.226562,14,2179,2179,18,9,-24,-20,-22
