time_s,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8
0.000000,13,2179,2179,21,18,-19,-15,-20
0.003906,13,2179,2179,22,18,-19,-15,-20
0.007812,13,2179,2179,22,19,-22,-15,-20
0.011719,12,2179,2179,23,19,-19,-15,-20
0.015625,12,2179,2179,22,18,-19,-15,-20
0.019531,12,2179,2179,22,18,-19,-15,-20
0.023438,12,2179,2179,22,19,-19,-15,-20
0.027344,12,2179,2179,22,19,-19,-14,-20
0.031250,12,2179,2179,21,19,-19,-14,-20
0.035156,13,2179,2179,20,18,-19,-14,-20
0.039062,13,2179,2179,20,18,-19,-14,-20
0.042969,12,2179,2179,20,19,-19,-14,-20
0.046875,13,2179,2179,20,19,-19,-15,-20
0.050781,13,2179,2179,20,18,-19,-15,-20
0.054688,12,2179,2179,20,18,-19,-15,-20
0.058594,12,2179,2179,21,19,-19,-15,-20
0.062500,12,2179,2179,21,19,-19,-15,-20
0.066406,13,2179,2179,20,18,-19,-15,-20
0.070312,13,2179,2179,20,18,-19,-14,-20
0.074219,12,2179,2179,20,18,-19,-15,-20
0.078125,12,2179,2179,20,18,-19,-15,-20
0.082031,12,2179,2179,20,18,-19,-14,-21
0.085938,12,2179,2179,20,17,-19,-14,-21
0.089844,12,2179,2179,21,17,-19,-15,-21
0.093750,12,2179,2179,21,18,-20,-15,-21
0.097656,12,2179,2179,21,18,-19,-15,-20
0.101562,12,2179,2179,21,18,-19,-15,-20
0.105469,11,2179,2179,21,18,-19,-15,-20
0.109375,11,2179,2179,21,18,-19,-15,-20
0.113281,11,2179,2179,21,18,-19,-15,-20
0.117188,11,2179,2179,21,18,-19,-15,-20
0.121094,11,2179,2179,21,18,-20,-15,-20
0.125000,11,2179,2179,22,19,-20,-15,-21
0.128906,11,2179,2179,22,19,-19,-15,-20
0.132812,11,2179,2179,21,18,-17,-15,-20
0.136719,11,2179,2179,21,18,-19,-14,-20
0.140625,12,2179,2179,22,20,-19,-14,-20
0.144531,12,2179,2179,21,18,-19,-14,-20
0.148438,13,2179,2179,21,18,-19,-14,-20
0.152344,13,2179,2179,21,18,-19,-14,-20
0.156250,13,2179,2179,21,18,-19,-14,-20
0.160156,14,2179,2179,21,18,-19,-14,-20
0.164062,14,2179,2179,20,18,-19,-14,-20
0.167969,14,2179,2179,20,18,-19,-14,-20
0.171875,14,2179,2179,20,18,-19,-14,-20
0.175781,15,2179,2179,20,18,-19,-15,-20
0.179688,15,2179,2179,20,18,-19,-15,-20
0.183594,15,2179,2179,20,18,-19,-15,-20
0.187500,16,2179,2179,20,18,-19,-15,-21
0.191406,16,2179,2179,20,18,-19,-15,-20
0.195312,15,2179,2179,20,18,-19,-15,-21
0.199219,16,2179,2179,20,18,-19,-15,-20
0.203125,16,2179,2179,20,18,-20,-15,-20
0.207031,16,2179,2179,20,18,-20,-15,-20
0.210938,15,2179,2179,21,19,-20,-15,-20
0.214844,16,2179,2179,21,19,-19,-15,-20
0.218750,16,2179,2179,20,18,-20,-15,-20
0.222656,15,2179,2179,21,18,-20,-15,-20
0.226562,15,2179,2179,21,19,-20,-15,-20
0.230469,16,2179,2179,22,19,-19,-14,-20
0.234375,16,2179,2179,22,18,-19,-14,-20
0.238281,16,2179,2179,22,18,-20,-14,-20
0.242188,16,2179,2179,23,19,-19,-14,-20
0.246094,17,2179,2179,23,19,-19,-14,-20
0.250000,17,2179,2179,22,18,-19,-14,-20
0.253906,17,2179,2179,22,18,-19,-14,-20
0.257812,17,2179,2179,22,19,-20,-14,-20
0.261719,16,2179,2179,22,19,-19,-14,-20
0.265625,17,2179,2179,21,19,-19,-14,-20
0.269531,16,2179,2179,21,18,-19,-14,-20
0.273438,16,2179,2179,22,18,-19,-14,-20
0.277344,16,2179,2179,22,18,-19,-15,-20
0.281250,17,2179,2179,22,19,-19,-14,-20
0.285156,17,2179,2179,22,18,-19,-14,-20
0.289062,17,2179,2179,21,18,-19,-15,-20
0.292969,17,2179,2179,21,18,-19,-15,-20
0.296875,18,2179,2179,21,18,-19,-15,-20
0.300781,18,2179,2179,20,18,-19,-15,-20
0.304688,18,2179,2179,20,18,-19,-15,-20
0.308594,18,2179,2179,20,18,-19,-15,-20
0.312500,17,2179,2179,21,18,-20,-15,-20
0.316406,18,2179,2179,21,18,-20,-15,-21
0.320312,17,2179,2179,21,18,-20,-15,-21
0.324219,17,2179,2179,22,18,-20,-15,-20
0.328125,17,2179,2179,22,18,-19,-15,-20
0.332031,17,2179,2179,21,18,-19,-15,-20
0.335938,17,2179,2179,21,18,-19,-15,-20
0.339844,16,2179,2179,21,18,-19,-15,-20
0.343750,16,2179,2179,22,19,-19,-15,-20
0.347656,15,2179,2179,22,18,-19,-14,-20
0.351562,15,2179,2179,22,18,-19,-14,-20
0.355469,15,2179,2179,21,18,-19,-14,-20
0.359375,15,2179,2179,22,19,-19,-14,-20
0.363281,15,2179,2179,21,19,-19,-14,-20
0.367188,15,2179,2179,20,18,-19,-14,-20
0.371094,15,2179,2179,20,18,-19,-14,-20
0.375000,14,2179,2179,21,18,-19,-14,-20
0.378906,14,2179,2179,21,18,-19,-14,-20
0.382812,14,2179,2179,21,18,-18,-14,-20
0.386719,14,2179,2179,21,18,-19,-14,-20
0.390625,14,2179,2179,22,18,-19,-15,-20
0.394531,14,2179,2179,22,19,-19,-15,-20
0.398438,15,2179,2179,22,18,-19,-15,-20
0.402344,15,2179,2179,22,18,-19,-14,-20
